customer_id,tenure_months,monthly_charges,total_charges,contract,internet_service,tech_support,senior_citizen,partner,dependents,payment_method,churn
C10315,22.0,107.39,2386.12,One year,DSL,No,0,No,No,Mailed check,0
C10316,56.0,29.14,1752.77,Month-to-month,Fiber,Yes,0,Yes,No,Electronic check,0
C10317,30.0,86.69,2562.44,Month-to-month,DSL,No,0,Yes,No,Electronic check,0
C10318,6.0,62.05,420.12,Month-to-month,Fiber,Yes,0,No,No,Credit card,0
C10319,4.0,34.54,123.09,Month-to-month,Fiber,No,1,Yes,No,Bank transfer,0
C10320,2.0,34.97,62.03,Month-to-month,,No,1,Yes,No,Bank transfer,1
C10321,66.0,74.97,5121.63,Month-to-month,DSL,No,0,Yes,No,Credit card,0
C10322,10.0,62.64,550.9,One year,Fiber,Yes,0,No,Yes,Electronic check,0
C10323,41.0,42.78,1837.99,One year,DSL,No,1,No,Yes,Bank transfer,0
C10324,29.0,56.58,1530.95,Month-to-month,Fiber,Yes,0,Yes,No,Credit card,0
C10325,23.0,58.69,1261.05,Two year,None,Yes,0,No,No,Electronic check,0
C10326,4.0,77.61,335.51,Month-to-month,DSL,Yes,1,No,No,Mailed check,1
C10327,29.0,90.9,2918.55,Month-to-month,Fiber,Yes,0,Yes,Yes,Mailed check,0
C10328,18.0,50.18,1024.82,One year,None,No,0,Yes,Yes,Credit card,0
C10329,34.0,59.96,1859.21,Two year,Fiber,No,0,Yes,No,Bank transfer,1
C10330,67.0,51.65,3711.65,One year,Fiber,No,0,No,No,Electronic check,0
C10331,49.0,82.49,3928.01,Two year,DSL,No,1,Yes,No,Credit card,0
C10332,10.0,44.79,400.87,Month-to-month,Fiber,No,0,Yes,No,Electronic check,0
C10333,62.0,31.87,2063.21,Month-to-month,DSL,Yes,0,Yes,No,Mailed check,0
C10334,34.0,91.64,3027.28,Two year,Fiber,No,0,No,No,Mailed check,0
C10335,61.0,75.28,5046.92,One year,Fiber,No,0,No,Yes,Bank transfer,0
C10336,9.0,68.12,541.09,Month-to-month,None,No,0,Yes,Yes,Credit card,0
C10337,5.0,87.14,468.69,Month-to-month,Fiber,No,0,Yes,No,Credit card,1
C10338,48.0,92.31,4336.53,Two year,Fiber,No,0,No,No,Electronic check,0
C10339,33.0,47.0,1718.05,Month-to-month,None,No,0,No,No,Electronic check,0
C10340,49.0,43.47,2012.38,Month-to-month,DSL,No,0,No,No,Bank transfer,0
C10341,51.0,65.81,3641.85,Month-to-month,Fiber,No,0,Yes,No,Credit card,0
C10342,16.0,64.63,1095.85,Month-to-month,DSL,No,0,No,No,Electronic check,1
C10343,1.0,80.59,79.91,One year,DSL,Yes,0,No,No,Credit card,0
C10344,67.0,50.39,2927.71,One year,DSL,No,0,No,No,Bank transfer,0
C10345,66.0,46.94,2790.83,Month-to-month,DSL,Yes,0,No,No,Bank transfer,0
C10346,52.0,39.12,2178.65,Month-to-month,DSL,Yes,1,No,No,Bank transfer,0
C10347,25.0,40.59,863.92,Month-to-month,Fiber,No,0,Yes,Yes,Bank transfer,0
C10348,33.0,42.66,1434.52,One year,Fiber,No,0,Yes,No,Electronic check,0
C10349,34.0,97.29,3798.11,One year,DSL,Yes,1,No,Yes,Bank transfer,1
C10350,12.0,31.55,360.61,One year,,Yes,0,No,Yes,Mailed check,0
C10351,26.0,66.77,1613.79,Month-to-month,None,No,0,No,Yes,Electronic check,0
C10352,64.0,32.91,2132.73,Month-to-month,Fiber,No,0,No,No,Bank transfer,0
C10353,66.0,61.65,4162.54,Month-to-month,Fiber,No,0,No,No,Mailed check,0
C10354,16.0,56.13,949.1,Month-to-month,DSL,No,0,No,Yes,Bank transfer,1
C10355,61.0,87.15,4811.77,Month-to-month,Fiber,No,0,Yes,No,Mailed check,0
C10356,30.0,80.67,2641.0,One year,None,Yes,1,No,No,Electronic check,0
C10357,64.0,100.1,6657.83,Month-to-month,DSL,No,0,No,Yes,Electronic check,0
C10358,8.0,69.12,609.22,Month-to-month,Fiber,Yes,0,No,No,Bank transfer,1
C10359,16.0,42.62,703.54,One year,Fiber,No,1,Yes,No,Credit card,0
C10360,58.0,83.83,4550.91,One year,DSL,Yes,1,Yes,No,Credit card,0
C10361,10.0,85.16,803.99,One year,Fiber,No,0,No,No,Bank transfer,0
C10362,67.0,90.24,5472.84,Month-to-month,Fiber,No,1,No,Yes,Mailed check,0
C10363,13.0,112.28,1480.84,Month-to-month,Fiber,No,0,Yes,Yes,Credit card,1
C10364,32.0,62.89,,Month-to-month,DSL,Yes,0,No,No,Credit card,0
C10365,70.0,93.92,5855.04,Two year,Fiber,No,0,No,No,Credit card,0
C10366,69.0,56.55,3948.14,Two year,Fiber,No,0,Yes,Yes,Mailed check,0
C10367,61.0,27.78,1690.42,One year,DSL,No,0,No,No,Bank transfer,0
C10368,56.0,53.22,3192.3,Month-to-month,Fiber,Yes,0,Yes,No,Bank transfer,0
C10369,69.0,74.32,5671.75,Month-to-month,DSL,No,0,Yes,No,Mailed check,0
C10370,20.0,94.44,1710.92,Month-to-month,DSL,No,0,Yes,Yes,Credit card,1
C10371,54.0,48.09,2984.82,Month-to-month,Fiber,Yes,1,No,Yes,Credit card,1
C10372,61.0,87.15,4917.4,Month-to-month,DSL,No,0,Yes,No,Mailed check,0
C10373,5.0,77.8,341.6,One year,DSL,No,1,No,Yes,Electronic check,0
C10374,71.0,46.06,3405.89,Month-to-month,None,No,0,Yes,No,Bank transfer,1
C10375,36.0,43.37,1441.12,Two year,Fiber,No,0,Yes,No,Mailed check,0
C10376,12.0,56.1,768.04,One year,DSL,No,0,No,Yes,Credit card,0
C10377,45.0,74.18,3030.82,One year,Fiber,Yes,1,No,No,Bank transfer,0
C10378,63.0,70.94,4264.76,One year,DSL,No,1,No,Yes,Mailed check,0
C10379,34.0,38.43,1414.71,Month-to-month,Fiber,No,0,Yes,No,Bank transfer,0
C10380,69.0,71.82,5227.96,One year,DSL,Yes,0,Yes,Yes,Electronic check,0
C10381,17.0,67.73,1015.71,Month-to-month,,No,0,No,No,Bank transfer,1
C10382,29.0,57.46,1881.44,Month-to-month,Fiber,No,0,No,Yes,Credit card,0
C10383,8.0,73.77,508.85,Month-to-month,DSL,No,1,Yes,No,Credit card,1
C10384,68.0,47.06,3629.75,One year,Fiber,No,0,No,No,Credit card,0
C10385,22.0,73.33,1615.51,One year,Fiber,No,1,No,No,Bank transfer,0
C10386,53.0,67.36,3812.07,One year,Fiber,Yes,0,No,Yes,Credit card,0
C10387,51.0,71.64,3417.44,Month-to-month,DSL,No,0,No,Yes,Bank transfer,1
C10388,36.0,91.13,3350.39,One year,DSL,No,0,Yes,No,Mailed check,0
C10389,39.0,86.16,3781.71,One year,Fiber,No,0,No,No,Electronic check,0
C10390,39.0,109.2,4107.3,One year,None,Yes,1,Yes,No,Electronic check,0
C10391,30.0,64.29,2176.74,One year,Fiber,Yes,0,Yes,No,Bank transfer,0
C10392,29.0,86.38,2878.72,Two year,Fiber,No,0,Yes,No,Mailed check,1
C10393,11.0,24.13,269.23,Month-to-month,Fiber,No,0,No,No,Mailed check,0
C10394,26.0,15,392.84,Month-to-month,DSL,No,0,No,Yes,Credit card,0
C10395,45.0,73.39,3456.67,One year,DSL,Yes,1,No,No,Credit card,1
C10396,30.0,72.52,2343.84,Two year,DSL,Yes,1,No,No,Bank transfer,1
C10397,15.0,55.42,789.38,One year,DSL,No,0,No,No,Mailed check,0
C10398,3.0,26.17,79.14,Month-to-month,DSL,Yes,0,Yes,No,Electronic check,1
C10399,35.0,36.28,1216.71,Month-to-month,DSL,No,0,No,No,Electronic check,0
C10000,15.0,84.8,1166.43,One year,Fiber,No,0,Yes,Yes,Mailed check,1
C10001,4.0,28.23,119.75,Month-to-month,Fiber,Yes,1,No,Yes,Credit card,0
C10002,20.0,74.18,1306.54,Month-to-month,Fiber,Yes,0,Yes,No,Electronic check,0
